id,key,value,type
41507062,highway,turning_circle,Regular
41507064,highway,turning_circle,Regular
41507069,highway,turning_circle,Regular
41507078,highway,turning_circle,Regular
41508799,highway,turning_circle,Regular
41508801,highway,turning_circle,Regular
41508824,highway,turning_circle,Regular
41508837,highway,turning_circle,Regular
41508841,highway,turning_circle,Regular
41508853,highway,turning_circle,Regular
41508992,highway,turning_circle,Regular
41509007,highway,turning_circle,Regular
41509304,highway,turning_circle,Regular
41510371,highway,turning_circle,Regular
41510398,highway,turning_circle,Regular
41510416,highway,turning_circle,Regular
41510428,highway,turning_circle,Regular
41510438,highway,turning_circle,Regular
41510446,highway,turning_circle,Regular
41510757,highway,turning_circle,Regular
41510761,highway,turning_circle,Regular
41510767,noexit,yes,Regular
41510777,highway,turning_circle,Regular
41510832,highway,turning_circle,Regular
41510864,highway,turning_circle,Regular
41510887,highway,turning_circle,Regular
41511664,highway,turning_circle,Regular
41512535,highway,turning_circle,Regular
41513295,highway,turning_circle,Regular
41513301,highway,turning_circle,Regular
41513308,highway,turning_circle,Regular
41513319,highway,turning_circle,Regular
41513325,highway,turning_circle,Regular
41513335,highway,turning_circle,Regular
41513897,highway,turning_circle,Regular
41514014,highway,turning_circle,Regular
41514017,highway,turning_circle,Regular
41514021,highway,turning_circle,Regular
41514028,highway,turning_circle,Regular
41515549,highway,turning_circle,Regular
41516110,highway,turning_circle,Regular
41517327,highway,traffic_signals,Regular
41517334,highway,traffic_signals,Regular
41517334,traffic_signals,signal,Regular
41517336,highway,traffic_signals,Regular
41517336,traffic_signals,signal,Regular
41517353,highway,traffic_signals,Regular
41517353,traffic_signals,signal,Regular
41517362,highway,traffic_signals,Regular
41517362,traffic_signals,signal,Regular
41517372,highway,traffic_signals,Regular
41517372,traffic_signals,signal,Regular
41517382,highway,traffic_signals,Regular
41517382,traffic_signals,signal,Regular
41517386,highway,traffic_signals,Regular
41517386,traffic_signals,signal,Regular
41517397,highway,traffic_signals,Regular
41518827,highway,stop,Regular
41518835,note,Way split for Mesa bicycle route 5.,Regular
41518903,highway,turning_circle,Regular
41519212,highway,turning_circle,Regular
41519263,highway,turning_circle,Regular
41519273,highway,turning_circle,Regular
41519658,highway,turning_circle,Regular
41519709,highway,turning_circle,Regular
41519801,highway,turning_circle,Regular
41519828,highway,turning_circle,Regular
41519845,highway,turning_circle,Regular
41520329,highway,turning_circle,Regular
41520334,highway,turning_circle,Regular
41520480,highway,turning_circle,Regular
41520505,noexit,yes,Regular
41520505,source,Bing,Regular
41520512,note,Way split for bus routes,Regular
41520610,highway,turning_circle,Regular
41520615,highway,turning_circle,Regular
41520663,highway,turning_circle,Regular
41520670,highway,turning_circle,Regular
41520680,highway,turning_circle,Regular
41520780,highway,turning_circle,Regular
41520785,highway,turning_circle,Regular
41521563,highway,traffic_signals,Regular
41521581,highway,traffic_signals,Regular
41521589,highway,traffic_signals,Regular
41521607,highway,traffic_signals,Regular
41521621,highway,traffic_signals,Regular
41521643,noexit,yes,Regular
41522276,highway,turning_circle,Regular
41522281,highway,turning_circle,Regular
41522287,highway,turning_circle,Regular
41522293,highway,turning_circle,Regular
41522302,highway,turning_circle,Regular
41522414,highway,turning_circle,Regular
41522431,highway,turning_circle,Regular
41525161,highway,turning_circle,Regular
41525442,highway,turning_circle,Regular
41525495,highway,turning_circle,Regular
41525499,highway,turning_circle,Regular
41525506,highway,turning_circle,Regular
41525512,highway,turning_circle,Regular
41525537,highway,turning_circle,Regular
41525656,highway,turning_circle,Regular
41525722,highway,turning_circle,Regular
41526431,highway,turning_circle,Regular
41526434,highway,turning_circle,Regular
41527233,highway,turning_circle,Regular
41527241,highway,turning_circle,Regular
41527309,highway,turning_circle,Regular
41527330,highway,turning_circle,Regular
41527337,highway,turning_circle,Regular
41527803,highway,turning_circle,Regular
41527821,highway,turning_circle,Regular
41527830,highway,turning_circle,Regular
41527848,highway,turning_circle,Regular
41528001,highway,turning_circle,Regular
41528332,highway,turning_circle,Regular
41528440,highway,turning_circle,Regular
41528447,highway,turning_circle,Regular
41528590,highway,turning_circle,Regular
41528598,highway,traffic_signals,Regular
41529094,highway,turning_circle,Regular
41529120,highway,turning_circle,Regular
41529150,highway,turning_circle,Regular
41529159,highway,turning_circle,Regular
41529409,highway,turning_circle,Regular
41529636,highway,traffic_signals,Regular
41529691,highway,traffic_signals,Regular
41529701,highway,traffic_signals,Regular
41529740,highway,traffic_signals,Regular
41529742,highway,turning_loop,Regular
41529805,highway,turning_circle,Regular
41529882,highway,turning_circle,Regular
41529928,highway,turning_circle,Regular
41529935,highway,turning_circle,Regular
41529957,highway,turning_circle,Regular
41529966,highway,turning_circle,Regular
41529971,highway,turning_circle,Regular
41529976,highway,turning_circle,Regular
41530278,highway,turning_circle,Regular
41530301,highway,turning_circle,Regular
41530467,highway,turning_circle,Regular
41530528,noexit,yes,Regular
41530695,highway,turning_circle,Regular
41530852,highway,turning_circle,Regular
41530855,note,Way split for Mesa bicycle route 5.,Regular
41530867,traffic_calming,hump,Regular
41530876,note,Way split for Mesa bicycle route 5.,Regular
41530922,highway,turning_circle,Regular
41530925,highway,turning_circle,Regular
41530942,highway,turning_circle,Regular
41531271,highway,traffic_signals,Regular
41531276,highway,traffic_signals,Regular
41531303,highway,traffic_signals,Regular
41531313,highway,traffic_signals,Regular
41531335,highway,traffic_signals,Regular
41531353,highway,traffic_signals,Regular
41531373,highway,traffic_signals,Regular
41531373,note,Way split for bus routes.,Regular
41531742,highway,turning_circle,Regular
41533093,highway,traffic_signals,Regular
41533125,highway,traffic_signals,Regular
41533125,traffic_signals,signal,Regular
41533159,highway,traffic_signals,Regular
41533159,traffic_signals,signal,Regular
41533175,highway,traffic_signals,Regular
41533175,traffic_signals,signal,Regular
41533198,highway,traffic_signals,Regular
41533198,traffic_signals,signal,Regular
41533477,traffic_calming,hump,Regular
41533482,traffic_calming,hump,Regular
41533516,highway,turning_circle,Regular
41533518,highway,turning_circle,Regular
41533535,junction,roundabout,Regular
41533535,source,Bing,Regular
41533555,highway,turning_circle,Regular
41534221,highway,turning_circle,Regular
41534222,highway,turning_circle,Regular
41534225,highway,turning_circle,Regular
41534230,highway,turning_circle,Regular
41534235,highway,turning_circle,Regular
41534775,highway,turning_circle,Regular
41534793,highway,turning_circle,Regular
41535590,highway,turning_circle,Regular
41535594,highway,turning_circle,Regular
41535597,highway,turning_circle,Regular
41535606,highway,turning_circle,Regular
41535610,highway,turning_circle,Regular
41535618,highway,turning_circle,Regular
41535636,highway,turning_circle,Regular
41535644,highway,turning_circle,Regular
41535652,highway,turning_circle,Regular
41535664,highway,turning_circle,Regular
41535694,highway,turning_circle,Regular
41536214,highway,traffic_signals,Regular
41536366,highway,turning_circle,Regular
41537590,highway,turning_circle,Regular
41537598,highway,turning_circle,Regular
41538192,highway,turning_circle,Regular
41538904,highway,turning_circle,Regular
41538962,highway,turning_circle,Regular
41539104,highway,turning_circle,Regular
41539106,highway,turning_circle,Regular
41539386,highway,traffic_signals,Regular
41539585,highway,traffic_signals,Regular
41540128,highway,turning_circle,Regular
41540136,highway,turning_circle,Regular
41540142,highway,turning_circle,Regular
41540809,highway,turning_circle,Regular
41541028,highway,traffic_signals,Regular
41541687,highway,turning_circle,Regular
41541691,highway,turning_circle,Regular
41542874,highway,turning_circle,Regular
41542888,highway,turning_circle,Regular
41542896,highway,turning_circle,Regular
41543515,highway,turning_circle,Regular
41543601,highway,turning_circle,Regular
41543999,highway,turning_circle,Regular
41544008,highway,turning_circle,Regular
41544545,highway,turning_circle,Regular
41544549,highway,turning_circle,Regular
41545359,highway,turning_circle,Regular
41545400,highway,traffic_signals,Regular
41545512,highway,traffic_signals,Regular
41545811,highway,turning_circle,Regular
41546546,highway,turning_circle,Regular
41546641,highway,traffic_signals,Regular
41546647,highway,turning_circle,Regular
41546870,highway,turning_circle,Regular
41547980,highway,turning_circle,Regular
41548002,highway,turning_circle,Regular
41548517,highway,turning_circle,Regular
41549763,highway,turning_circle,Regular
41549995,highway,turning_circle,Regular
41550652,highway,turning_circle,Regular
41550701,highway,turning_circle,Regular
41551416,highway,turning_circle,Regular
41551424,highway,turning_circle,Regular
41551656,highway,turning_circle,Regular
41551662,highway,turning_circle,Regular
41551783,highway,turning_circle,Regular
41552203,traffic_calming,hump,Regular
41552231,traffic_calming,hump,Regular
41552238,traffic_calming,hump,Regular
41552243,highway,traffic_signals,Regular
41552282,highway,turning_circle,Regular
41552292,highway,turning_circle,Regular
41552403,highway,turning_circle,Regular
41552945,highway,traffic_signals,Regular
41552984,highway,traffic_signals,Regular
41552989,highway,traffic_signals,Regular
41552991,highway,traffic_signals,Regular
41552991,traffic_signals,signal,Regular
41552992,highway,traffic_signals,Regular
41553003,highway,traffic_signals,Regular
41553020,highway,traffic_signals,Regular
41553026,highway,traffic_signals,Regular
41553331,highway,traffic_signals,Regular
41553424,highway,turning_circle,Regular
41553425,traffic_calming,hump,Regular
41553435,highway,turning_circle,Regular
41553454,highway,turning_circle,Regular
41553460,highway,turning_circle,Regular
41553466,highway,turning_circle,Regular
41554476,highway,turning_circle,Regular
41554485,highway,turning_circle,Regular
41555136,highway,turning_circle,Regular
41555959,highway,turning_circle,Regular
41556164,highway,traffic_signals,Regular
41556164,traffic_signals,signal,Regular
41556179,highway,traffic_signals,Regular
41556196,highway,traffic_signals,Regular
41556234,highway,traffic_signals,Regular
41556271,highway,traffic_signals,Regular
41556375,highway,turning_circle,Regular
41557084,highway,turning_circle,Regular
41557151,highway,turning_circle,Regular
41557183,highway,turning_circle,Regular
41557770,highway,turning_circle,Regular
41557807,highway,turning_circle,Regular
41559667,highway,turning_circle,Regular
41559980,highway,traffic_signals,Regular
41561738,highway,traffic_signals,Regular
41561738,traffic_signals,signal,Regular
41562248,highway,turning_circle,Regular
41562251,highway,turning_circle,Regular
41562268,highway,turning_circle,Regular
41562269,highway,turning_circle,Regular
41562284,highway,turning_circle,Regular
41562290,highway,turning_circle,Regular
41562451,traffic_calming,hump,Regular
41562455,traffic_calming,hump,Regular
41562457,note,Way split for bike routes,Regular
41563095,highway,turning_circle,Regular
41563096,highway,turning_circle,Regular
41563098,highway,turning_circle,Regular
41563343,highway,turning_circle,Regular
41563352,highway,turning_circle,Regular
41563469,traffic_calming,hump,Regular
41563472,junction,roundabout,Regular
41563472,source,Bing,Regular
41563475,highway,traffic_signals,Regular
41563500,highway,traffic_signals,Regular
41563515,highway,traffic_signals,Regular
41563519,railway,level_crossing,Regular
41563645,highway,turning_circle,Regular
41563646,highway,turning_circle,Regular
41563689,traffic_calming,hump,Regular
41563951,highway,turning_circle,Regular
41563971,highway,turning_circle,Regular
41563976,highway,turning_circle,Regular
41564004,highway,turning_circle,Regular
41564230,highway,turning_circle,Regular
41564456,highway,turning_circle,Regular
41564927,highway,turning_circle,Regular
41564941,highway,turning_circle,Regular
41565300,highway,turning_circle,Regular
41565303,highway,traffic_signals,Regular
41565303,traffic_signals,signal,Regular
41565322,highway,traffic_signals,Regular
41565322,traffic_signals,signal,Regular
41565331,highway,traffic_signals,Regular
41565331,traffic_signals,signal,Regular
41565366,highway,traffic_signals,Regular
41565374,highway,traffic_signals,Regular
41565610,highway,traffic_signals,Regular
41565619,highway,traffic_signals,Regular
41565639,highway,traffic_signals,Regular
41565655,highway,traffic_signals,Regular
41565655,note,Way split for bus routes.,Regular
41565972,highway,turning_circle,Regular
41565976,highway,turning_circle,Regular
41565985,highway,turning_circle,Regular
41566549,railway,level_crossing,Regular
41566584,noexit,yes,Regular
41566596,highway,turning_circle,Regular
41566896,highway,turning_circle,Regular
41567289,highway,traffic_signals,Regular
41567304,highway,traffic_signals,Regular
41567316,highway,traffic_signals,Regular
41567347,highway,turning_circle,Regular
41567359,highway,turning_circle,Regular
41567508,highway,turning_circle,Regular
41567527,highway,turning_circle,Regular
41567534,highway,turning_circle,Regular
41567550,highway,turning_circle,Regular
41567553,highway,turning_circle,Regular
41568306,highway,turning_circle,Regular
41568314,highway,turning_circle,Regular
41568319,highway,turning_circle,Regular
41568325,highway,turning_circle,Regular
41568563,highway,turning_circle,Regular
41568571,highway,turning_circle,Regular
41569160,highway,turning_circle,Regular
41569226,highway,turning_circle,Regular
41569227,highway,turning_circle,Regular
41569288,highway,turning_loop,Regular
41569289,highway,turning_circle,Regular
41569299,highway,turning_loop,Regular
41569302,highway,turning_circle,Regular
41569405,highway,turning_circle,Regular
41569787,highway,traffic_signals,Regular
41570033,highway,turning_circle,Regular
41572243,highway,turning_circle,Regular
41572808,highway,turning_circle,Regular
41572817,highway,turning_circle,Regular
41572831,highway,turning_circle,Regular
41572838,highway,turning_circle,Regular
41572840,highway,turning_circle,Regular
41572846,highway,turning_circle,Regular
