id,user,uid,version,changeset,timestamp
5574536,marianp_telenav,5351387,11,52386108,2017-09-26T14:17:55Z
5574552,Dr Kludge,292665,3,14318576,2012-12-18T13:40:40Z
5574553,Dr Kludge,292665,3,14318576,2012-12-18T13:40:40Z
5574770,marianp_telenav,5351387,14,52386108,2017-09-26T14:17:55Z
5574828,marianp_telenav,5351387,14,52386108,2017-09-26T14:17:55Z
5574864,TheDutchMan13,1330847,4,35840628,2015-12-09T07:58:56Z
5574869,TheDutchMan13,1330847,5,35840628,2015-12-09T07:58:55Z
5575001,Dr Kludge,292665,2,9189787,2011-09-02T03:09:05Z
5575094,TheDutchMan13,1330847,4,31170043,2015-05-15T12:00:39Z
5575123,DaveHansenTiger,7168,1,326660,2007-09-04T23:20:57Z
5575221,TheDutchMan13,1330847,6,35840916,2015-12-09T08:27:09Z
5575264,kookiemonster,709614,4,12070846,2012-06-30T22:50:15Z
5575281,adenium,4111,5,851842,2009-01-29T19:07:38Z
5575315,jfuredy,32890,3,1154841,2009-05-11T18:14:32Z
5575323,jfuredy,32890,2,1154841,2009-05-11T18:14:36Z
5575349,Bike Mapper,74705,2,19681278,2013-12-28T16:08:09Z
5575449,Dr Kludge,292665,12,24175959,2014-07-16T07:53:21Z
5575462,Dr Kludge,292665,2,11212513,2012-04-07T11:22:01Z
5575466,inah_telenav,5188736,4,51844833,2017-09-08T13:06:08Z
5575547,marianp_telenav,5351387,12,52386108,2017-09-26T14:17:55Z
5575739,TheDutchMan13,1330847,5,49088626,2017-05-30T00:54:38Z
5575765,kookiemonster,709614,4,12202390,2012-07-13T03:04:53Z
5575888,Dr Kludge,292665,10,15960571,2013-05-03T13:29:10Z
5575995,7im,5184710,11,45530051,2017-01-26T21:24:48Z
5576075,inah_telenav,5188736,3,51844833,2017-09-08T13:06:09Z
5576076,inah_telenav,5188736,3,51844833,2017-09-08T13:06:09Z
5576080,bogdanp_telenav,4433679,2,52070277,2017-09-15T14:07:25Z
5576145,TheDutchMan13,1330847,4,33536847,2015-08-24T04:09:56Z
5576470,TheDutchMan13,1330847,5,48807087,2017-05-19T01:00:09Z
5576566,Sunfishtommy,2302638,12,52371114,2017-09-26T02:36:56Z
5576570,piligab,3877019,11,41418058,2016-08-12T20:17:47Z
5576728,TheDutchMan13,1330847,5,49088626,2017-05-30T00:54:39Z
5576732,Dr Kludge,292665,14,15558266,2013-03-31T19:10:37Z
5576881,TheDutchMan13,1330847,3,36022610,2015-12-18T07:04:47Z
5577020,Dr Kludge,292665,3,14318576,2012-12-18T13:40:40Z
5577059,TheDutchMan13,1330847,3,36022760,2015-12-18T07:21:01Z
5577123,AJ Riley,157922,2,16749146,2013-06-29T09:02:12Z
